Las Vegas Challenge
Henric Hagman: 15
Jakub Semerád: 14
Niklas Anttila: 14
Max Regitnig: 11
Josef Berg: 8
Laurenz Schaurhofer: 7
Knut Valen Håland: 6
Samuel Hänninen: 6
Väinö Mäkelä: 5
Linus Carlsson: 3
Niko Rättyä: 2
Bohdan Bílek: 2
Anton Lindh: 1

Best of 'Mid America Open'
Luke Sabulsky: 24
Daniel Ainsworth: 24
Jason Hebenheimer: 23
Connor O'Reilly: 18
George Smith: 15
Brock Rohler: 14
Jake Lauber: 12
AJ Carey: 10
Kyle Klein: 9
Trevon Crowe: 9
Cory Folkins: 8
Alden Harris: 6
Levi Hancock: 3

Best of 'Ledgestone Open'
Andrew Marwede: 14
Dylan Horst: 10
Nate Perkins: 10
Drew Gibson: 9
Kyle Klein: 8
Zach Arlinghaus: 8
Noah Fiveash: 8
George Beno: 8
Chris Clemons: 7
Ian Hamilton: 6
Alden Harris: 6
Tristan Tanner: 6
Garett Everson: 5
Kyle Moriarty: 5
Jonathan Fletcher: 5
Richard Wysocki: 4
Andrew Presnell: 4
Justin Rosak: 4
Zach Melton: 4
Cole Redalen: 3

Best of 'Idlewild'
Noah Fiveash: 25
Tony Moe Reiss: 17
Harper Thompson: 12
Connor O'Reilly: 11
Kyle Klein: 9
Corey Ellis: 9
Andrew Marwede: 8
Luke Samson: 7
Alden Harris: 6
Bradley Williams: 6
Chris Clemons: 6
Jeremy Koling: 5
Matt Bell: 4
Ezra Robinson: 3
Andrew Presnell: 2
John Willis II: 2
Matthew Blakely: 2
Logan Harpool: 1
Sam Lee: 1

Best of 'Great Lakes Open'
Corey Ellis: 31
Reid Frescura: 23
Tristan Tanner: 17
Kyle Klein: 16
Corey Selig: 15
Nolan Ramser: 13
Adam Hammes: 12
Ezra Aderhold: 9
Zach Arlinghaus: 9
Gavin Rathbun: 9
Skyler Stoker: 9
Luke Samson: 7
Brodie Smith: 7
Eric Oakley: 7
Kevin Jones: 6
Logan Harpool: 6
Trevor Harbolt: 6
Andrew Marwede: 4
Albert Tamm: 4
Chandler Fry: 4

Best of 'Jim Palmeri's AFDO'
Event Not Played

Best of 'PDGA Worlds'
Tristan Tanner: 29
Gavin Babcock: 23
Aaron Gossage: 22
Gregg Barsby: 20
Nathan Sexton: 18
Jonathan Fletcher: 15
Mason Ford: 15
Nicholas Carl: 13
Reid Frescura: 13
Chris Clemons: 12
Paul McBeth: 10
James Conrad: 10
Kevin Jones: 9
Connor O'Reilly: 9
Alexander Krause: 8
Logan Harpool: 8
Kade Filimoehala: 8
Anthony Barela: 7
Brodie Smith: 7
Ty Love: 7

Best of 'MVP Open'
Dylan Capaccioli: 30
Matt Bell: 26
Kevin Kohltrain: 23
Corey Ellis: 19
Christian Olsen: 19
Raven Newsom: 16
Benjamin Callaway: 14
Andrew Marwede: 13
Thomas Gilbert: 12
Joel Freeman: 10
Jeremy Koling: 9
Zach Melton: 7
Gregg Barsby: 6
Casey White: 4
Paul Ulibarri: 4
Ezra Aderhold: 2
Gavin Babcock: 2
Adam Hammes: 1
Richard Wysocki: 1

Best of ''
Event Not Played



----------Event History FPO----------
Best of 'Las Vegas Challenge'
Raven Klein: 37
Catrina Allen: 28
Holyn Handley: 25
Ella Hansen: 25
Rebecca Cox: 22
Leah Tsinajinnie: 20
Samii The Tutu Maes: 13
Sami Keddington: 12
Maria Oliva: 9
Paige Pierce: 8
Jessica Weese: 6
Cynthia Ricciotti: 6
Elyse Reveles: 6
Madison Walker: 2
Kat Mertsch: 2

Best of 'WACO'
Cynthia Ricciotti: 23
Valerie Mandujano: 22
Rebecca Cox: 20
Holly Finley: 20
Kona Star Panis: 19
Kat Mertsch: 17
Lydia Lyons: 13
Ohn Scoggins: 12
Madison Walker: 12
Alexis Mandujano: 7
Krissie Fountain: 6
Lisa Fajkus: 4
Missy Gannon: 2
Casey Pennington: 2
Stephanie Vincent: 2
Christina Linthicum: 1

Best of 'The Open at Austin'
Casey Pennington: 23
Heather Young: 16
Kat Mertsch: 15
Valerie Mandujano: 13
Catrina Allen: 12
Lisa Fajkus: 12
Stacie Rawnsley: 12
Alexis Mandujano: 8
Maria Oliva: 6
Jessica Weese: 5
Rebecca Cox: 2
Cynthia Ricciotti: 2
Kona Star Panis: 2

Best of 'Texas State Disc Golf Championships'
Kat Mertsch: 27
Sami Keddington: 21
Maria Oliva: 17
Stacie Rawnsley: 15
Rebecca Cox: 13
Casey Pennington: 13
Alexis Mandujano: 9
Valerie Mandujano: 6
Des Reading: 6
Missy Gannon: 4
Stephanie Vincent: 3
Holly Finley: 2
Jessica Weese: 1

Best of 'Music City Open'
Macie Velediaz: 28
Kat Mertsch: 25
Deann Carey: 17
Natalie Ryan: 10
Missy Gannon: 8
Sara Sinclair: 5
Leah Tsinajinnie: 4
Lori Merriman: 3
Tiger Borth: 3
Maria Oliva: 2
Holly Finley: 1

Best of 'Blue Ridge Championship'
Event Not Played

Best of 'Champions Cup'
Event Not Played

Best of 'Jonesboro Open'
Stacie Rawnsley: 24
Catrina Allen: 21
Cynthia Ricciotti: 17
Deann Carey: 14
Kat Mertsch: 11
Kona Star Panis: 10
Missy Gannon: 9
Erika Stinchcomb: 7
Lori Merriman: 6
Christine Jennings: 6
Alexis Mandujano: 5
Sarah Hokom: 5
Vanessa Van Dyken: 1

Best of 'OTB Open'
Juliana Korver: 32
Ella Hansen: 29
Kat Mertsch: 13
Paige Pierce: 13
Jessica Weese: 11
Bayli Miller: 10
Missy Gannon: 9
Holyn Handley: 6
Kona Star Panis: 6
Lisa Fajkus: 4
Jenna Weiner: 3
Catrina Allen: 2
Leah Tsinajinnie: 2
Erika Stinchcomb: 1

Best of 'Beaver State Fling'
Event Not Played

Best of 'Cascade Challenge'
Event Not Played

Best of 'Zoo Town Open'
Event Not Played

Best of 'Dynamic Discs Open'
Alyssa Pierson: 41
Emily Beach: 25
Cynthia Ricciotti: 20
Leah Tsinajinnie: 15
Hailey King: 11
Catrina Allen: 9
Maria Oliva: 7
